1453016833581918	266	316	-340	135	974	1776	892	138	441	172	1688	1752	406	165	1631	-236	-359	-514	-24	-314	-9	602	1511	821
1453016833585826	521	837	95	93	-323	1595	1800	-557	-104	668	-31	409	-637	2517	1826	-874	-256	392	83	-32	-5	709	177	1309
1453016833590765	98	277	140	823	113	-255	2095	62	-314	2691	711	2484	166	-346	453	125	-202	404	50	1909	188	795	9	14
1453016833593808	2450	878	1143	1765	519	64	144	-277	-157	1152	268	-78	-207	1195	912	905	-213	945	548	620	410	866	573	12
1453016833597609	300	626	757	-22	961	924	1478	343	85	1567	49	1371	1588	1160	-726	473	2814	312	-7	371	-92	-14	1144	2156
1453016833601811	76	797	76	1586	492	971	154	634	-234	706	708	130	319	1155	326	45	1624	428	2131	78	1	1428	2630	1932
1453016833605877	9	-2	-51	291	104	213	820	697	222	-13	1936	105	-147	146	1142	5	1086	1878	2853	-44	1036	1204	-501	1016
1453016833610024	1218	524	-71	21	677	314	2238	758	-167	229	579	962	1221	-266	1804	-295	-341	280	2189	92	496	-659	824	1195
1453016833614931	350	1619	1410	73	1334	-209	2352	676	-5	232	188	-12	-232	52	24	-246	930	1245	2997	577	-626	-295	2018	162
1453016833619006	1297	-357	215	3129	246	2581	301	-22	2042	752	436	1034	3140	25	1288	623	3	2090	-261	-345	1084	1869	1619	535
1453016833623013	3406	1113	2280	2578	19	-59	1771	936	1901	606	856	2038	266	-56	2147	-245	-358	61	581	881	46	654	-89	2705
1453016833627008	5	1937	-11	264	2030	1994	-342	2554	1531	402	1582	14	648	24	1370	371	1440	-363	-5	2435	-295	1131	-433	392
1453016833631001	3595	507	403	515	1526	-132	-619	2815	2017	-466	4	1613	578	877	2791	859	138	-10	-809	625	536	242	562	-834
1453016833634982	68	24	-713	178	-18	18	157	-227	581	318	-340	-138	1497	842	17	1332	3564	-31	-299	808	226	75	1518	623
1453016833639023	441	1590	-92	431	801	-132	193	1240	346	1870	552	741	843	-684	764	-41	1279	1809	158	-246	75	2257	440	2138
1453016833643165	296	-116	506	1348	2653	1109	2408	2617	1461	27	-289	-14	-327	1788	1530	1657	-296	447	0	-414	64	-206	-358	1929
1453016833647046	590	1156	291	-18	2168	2826	-131	-37	509	2112	-99	670	-657	386	3363	2011	900	78	320	690	1251	127	824	2751
1453016833651051	-535	1285	-819	612	2252	212	119	-310	470	-105	224	2095	108	143	1585	13	1112	383	846	2233	26	-36	408	738
1453016833655125	236	-388	1691	1869	168	601	-142	221	1079	2431	1741	337	1017	31	1	398	391	110	-459	845	1269	-10	65	20
1453016833658744	1811	1210	3935	-609	766	280	2960	297	2565	2805	504	1447	1422	1653	347	499	1373	400	358	151	-56	239	34	-125
1453016833663146	810	253	1839	419	-820	116	393	66	1363	-346	2186	2649	108	1153	-89	2027	1166	2475	316	1839	906	434	179	1031
