%OpenBCI Raw EEG Data
%
%Sample Rate = 250.0 Hz
%First Column = SampleIndex
%Other Columns = EEG data in microvolts followed by Accel Data (in G) interleaved with Aux Data
0, -21779.07, -1030.46, -20584.44, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.04, -0.08, 0.50
1, -24699.35, -3292.41, -23000.75, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.00, 0.00, 0.00
2, -25015.76, -4097.54, -23666.47, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.03, -0.08, 0.50
3, -22572.31, -2318.26, -21730.16, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.00, 0.00, 0.00
4, -21487.49, -919.24, -20429.56, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.00, 0.00, 0.00
5, -24233.94, -2849.00, -22561.89, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.00, 0.00, 0.00
6, -25242.81, -4192.43, -23802.84, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.00, 0.00, 0.00
7, -23070.33, -2734.27, -22165.35, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.04, -0.09, 0.50
8, -21358.79, -944.32, -20414.74, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.00, 0.00, 0.00
9, -23684.33, -2373.78, -22068.70, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.00, 0.00, 0.00
10, -25369.86, -4208.63, -23844.15, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.00, 0.00, 0.00
11, -23581.16, -3140.78, -22594.53, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.00, 0.00, 0.00
12, -21382.91, -1096.06, -20523.62, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.03, -0.08, 0.51
13, -23092.97, -1912.12, -21569.37, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.00, 0.00, 0.00
14, -25347.19, -4083.64, -23742.94, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.00, 0.00, 0.00
15, -24065.65, -3497.69, -22979.09, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.00, 0.00, 0.00
16, -21576.67, -1355.95, -20766.27, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.00, 0.00, 0.00
17, -22519.07, -1490.21, -21112.76, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.04, -0.07, 0.50
18, -25200.83, -3852.39, -23539.09, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, 0.00, 0.00, 0.00
